<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусГидро;D;27/05/23;000000;0.8328;0.8328;0.8328;0.8328;0;0
РусГидро;D;28/05/23;000000;0.8328;0.8328;0.8328;0.8328;0;0
РусГидро;D;29/05/23;000000;0.8363;0.86;0.8331;0.8583;226615000;0
РусГидро;D;30/05/23;000000;0.8559;0.8662;0.8452;0.8507;298824000;0
РусГидро;D;31/05/23;000000;0.855;0.855;0.8447;0.8482;128831000;0
РусГидро;D;01/06/23;000000;0.8473;0.855;0.8455;0.85;78182000;0
РусГидро;D;02/06/23;000000;0.8482;0.8879;0.837;0.8795;545947000;0
РусГидро;D;03/06/23;000000;0.8795;0.8795;0.8795;0.8795;0;0
РусГидро;D;04/06/23;000000;0.8795;0.8795;0.8795;0.8795;0;0
РусГидро;D;05/06/23;000000;0.8883;0.894;0.8552;0.8591;217573000;0
РусГидро;D;06/06/23;000000;0.8539;0.8717;0.8477;0.8678;95564000;0
РусГидро;D;07/06/23;000000;0.874;0.8928;0.8722;0.8898;218643000;0
РусГидро;D;08/06/23;000000;0.8909;0.9;0.8721;0.8807;233861000;0
РусГидро;D;09/06/23;000000;0.878;0.8806;0.8655;0.8716;72553000;0
РусГидро;D;10/06/23;000000;0.8716;0.8716;0.8716;0.8716;0;0
РусГидро;D;11/06/23;000000;0.8716;0.8716;0.8716;0.8716;0;0
РусГидро;D;12/06/23;000000;0.8716;0.8716;0.8716;0.8716;0;0
РусГидро;D;13/06/23;000000;0.8721;0.8789;0.8721;0.8749;78896000;0
РусГидро;D;14/06/23;000000;0.8768;0.8815;0.8585;0.8711;139303000;0
РусГидро;D;15/06/23;000000;0.874;0.8802;0.8643;0.8751;151114000;0
РусГидро;D;16/06/23;000000;0.8751;0.8765;0.8697;0.8734;43567000;0
РусГидро;D;17/06/23;000000;0.8734;0.8734;0.8734;0.8734;0;0
РусГидро;D;18/06/23;000000;0.8734;0.8734;0.8734;0.8734;0;0
РусГидро;D;19/06/23;000000;0.8749;0.879;0.8568;0.8643;219337000;0
РусГидро;D;20/06/23;000000;0.8623;0.865;0.8568;0.8606;114020000;0
РусГидро;D;21/06/23;000000;0.8606;0.8644;0.8568;0.8618;67613000;0
РусГидро;D;22/06/23;000000;0.8618;0.8631;0.8505;0.8573;68017000;0
РусГидро;D;23/06/23;000000;0.855;0.858;0.8282;0.8301;202033000;0
РусГидро;D;24/06/23;000000;0.8301;0.8301;0.8301;0.8301;0;0
РусГидро;D;25/06/23;000000;0.8301;0.8301;0.8301;0.8301;0;0
РусГидро;D;26/06/23;000000;0.835;0.8481;0.834;0.8422;117291000;0
